GameDate,GameId,HomeTeam,AwayTeam,OpeningHomeMoneyLine,OpeningAwayMoneyLine,OpeningPointSpread,OpeningHomeSpreadOdds,OpeningAwaySpreadOdds,OpeningOverUnder,OpeningOverOdds,OpeningUnderOdds,HomeScore,AwayScore,Winner,Favorite,CorrectSide,TotalRuns,OverHit,UnderHit,PushTotal
2025-03-27,74315,NYY,MIL,-127,107,-1.3,122,-146,6.0,-90,-99,4,2,Home,Home,True,6,False,False,True
2025-03-27,74316,TOR,BAL,-94,-94,1.1,-165,137,6.3,-88,-101,2,12,Away,Away,True,14,True,False,False
2025-03-27,74317,WSH,PHI,117,-139,1.1,-116,98,6.0,-105,88,3,7,Away,Away,True,10,True,False,False
2025-03-27,74318,TEX,BOS,94,-112,1.1,-139,117,6.0,-94,-94,2,5,Away,Away,True,7,True,False,False
2025-03-27,74312,CHW,LAA,117,-139,1.1,-107,90,6.0,-99,-90,8,1,Home,Away,False,9,True,False,False
2025-03-27,74313,HOU,NYM,-105,88,1.1,-176,146,6.0,86,-103,3,1,Home,Home,True,4,False,True,False
2025-03-27,74319,MIA,PIT,112,-133,1.1,-127,107,6.0,-96,-93,5,4,Home,Away,False,9,True,False,False
2025-03-27,74320,CIN,SF,-99,-90,1.1,-159,132,6.0,-99,-90,4,6,Away,Home,False,10,True,False,False
2025-03-27,74321,KC,CLE,-143,120,-1.3,107,-127,6.3,-96,-93,4,7,Away,Home,False,11,True,False,False
2025-03-27,74322,SD,ATL,86,-103,1.1,-155,129,6.0,-107,90,7,4,Home,Away,False,11,True,False,False
2025-03-27,74323,STL,MIN,-88,-101,1.1,-150,125,6.0,-88,-101,5,3,Home,Away,False,8,True,False,False
2025-03-27,74324,LAD,DET,-146,122,-1.3,117,-139,6.0,-107,90,5,4,Home,Home,True,9,True,False,False
2025-03-27,74314,ARI,CHC,-105,88,1.1,-170,141,6.3,-93,-96,6,10,Away,Home,False,16,True,False,False
2025-03-27,74325,SEA,ATH,-155,129,-1.3,107,-127,6.0,-88,-101,4,2,Home,Home,True,6,False,False,True
2025-03-28,74327,TB,COL,-285,235,-2.0,-137,-150,10.5,-137,-150,3,2,Home,Home,True,5,False,True,False
2025-03-28,74328,TOR,BAL,-170,144,-2.0,209,-251,11.0,-157,131,8,2,Home,Home,True,10,False,True,False
2025-03-28,74329,MIA,PIT,162,-193,2.0,-186,157,10.5,-150,-137,3,4,Away,Away,True,7,False,True,False
2025-03-28,74330,TEX,BOS,-137,-150,2.0,-217,183,11.0,-137,-150,4,1,Home,Away,False,5,False,True,False
2025-03-28,74334,HOU,NYM,-157,131,2.0,-268,222,10.5,-154,-133,1,3,Away,Home,False,4,False,True,False
2025-03-28,74326,ARI,CHC,-186,157,-2.0,190,-229,11.0,-137,-141,8,1,Home,Home,True,9,False,True,False
2025-03-28,74331,SD,ATL,-170,149,-2.0,201,-242,11.0,-157,131,4,3,Home,Home,True,7,False,True,False
2025-03-28,74332,SEA,ATH,-193,162,-2.0,201,-242,11.0,-146,-141,0,7,Away,Home,False,7,False,True,False
2025-03-28,74333,LAD,DET,-301,248,-2.0,-141,-146,11.0,133,-159,8,5,Home,Home,True,13,True,False,False
2025-03-29,74336,NYY,MIL,-87,73,-0.8,65,-77,6.0,-59,-56,20,9,Home,Home,True,29,True,False,False
2025-03-29,74337,CHW,LAA,71,-85,0.4,-63,52,6.0,-60,-55,0,1,Away,Away,True,1,False,True,False
2025-03-29,74340,STL,MIN,-56,-59,0.4,-94,78,6.0,-58,-58,5,1,Home,Away,False,6,False,False,True
2025-03-29,74341,TOR,BAL,-65,55,-0.8,84,-100,6.0,-59,-56,5,9,Away,Home,False,14,True,False,False
2025-03-29,74342,WSH,PHI,68,-81,0.4,-68,58,6.0,-56,-59,6,11,Away,Away,True,17,True,False,False
2025-03-29,74335,TB,COL,-104,86,-0.8,58,-68,6.0,52,-63,1,2,Away,Home,False,3,False,True,False
2025-03-29,74343,MIA,PIT,58,-68,0.4,-85,71,6.0,-62,-53,5,4,Home,Away,False,9,True,False,False
2025-03-29,74344,CIN,SF,-63,52,0.4,-104,86,6.0,-60,-55,3,2,Home,Home,True,5,False,True,False
2025-03-29,74345,KC,CLE,-63,52,0.4,-100,84,6.0,52,-63,4,3,Home,Home,True,7,True,False,False
2025-03-29,74346,TEX,BOS,-60,-55,0.4,-97,81,6.0,-55,-60,4,3,Home,Home,True,7,True,False,False
2025-03-29,74338,HOU,NYM,-65,55,-0.8,89,-107,6.0,-63,52,2,1,Home,Home,True,3,False,True,False
2025-03-29,74347,SD,ATL,68,-81,0.4,-68,58,6.0,-56,-59,1,0,Home,Away,False,1,False,True,False
2025-03-29,74339,ARI,CHC,-64,53,0.4,-104,86,6.0,-55,-60,3,4,Away,Home,False,7,True,False,False
2025-03-29,74348,LAD,DET,-107,89,-0.8,53,-64,6.0,-55,-60,7,3,Home,Home,True,10,True,False,False
2025-03-29,74349,SEA,ATH,-94,78,-0.8,68,-81,6.0,-59,-56,2,4,Away,Home,False,6,False,False,True
2025-03-30,74351,NYY,MIL,-216,181,-2.0,212,-256,11.0,-158,-164,12,3,Home,Home,True,15,True,False,False
2025-03-30,74355,WSH,PHI,175,-207,2.0,-197,167,11.0,-153,-168,5,1,Home,Away,False,6,False,True,False
2025-03-30,74356,TOR,BAL,-197,167,-2.0,219,-263,11.0,146,-175,3,1,Home,Home,True,4,False,True,False
2025-03-30,74350,TB,COL,-289,240,-2.0,175,-207,11.0,-168,-153,6,4,Home,Home,True,10,False,True,False
2025-03-30,74357,MIA,PIT,-183,153,-2.0,248,-300,11.0,-172,-149,3,2,Home,Home,True,5,False,True,False
2025-03-30,74358,CIN,SF,-153,-168,2.0,-237,199,11.0,-168,-153,3,6,Away,Away,True,9,False,True,False
2025-03-30,74352,CHW,LAA,153,-183,2.0,-226,190,11.0,-158,-164,2,3,Away,Away,True,5,False,True,False
2025-03-30,74359,KC,CLE,-168,-153,2.0,-289,240,10.2,-168,-153,2,6,Away,Home,False,8,False,True,False
2025-03-30,74360,STL,MIN,-158,-164,2.0,-263,219,11.0,-149,-172,9,2,Home,Away,False,11,False,False,True
2025-03-30,74361,TEX,BOS,-237,199,-2.0,190,-226,11.0,-153,-168,3,2,Home,Home,True,5,False,True,False
2025-03-30,74354,ARI,CHC,-178,149,2.0,-289,240,11.0,-153,-168,10,6,Home,Home,True,16,True,False,False
2025-03-30,74363,SEA,ATH,-270,225,-2.0,181,-216,11.0,149,-178,2,1,Home,Home,True,3,False,True,False
2025-03-30,74362,SD,ATL,-190,161,-2.0,234,-281,11.0,-164,-158,5,0,Home,Home,True,5,False,True,False
2025-03-31,74365,CHW,MIN,111,-134,0.7,-71,-78,6.0,-83,69,9,0,Home,Away,False,9,True,False,False
2025-03-31,74367,MIL,KC,-81,68,0.7,-130,108,6.0,-78,-71,1,11,Away,Home,False,12,True,False,False
2025-03-31,74368,BAL,BOS,-96,81,-1.0,92,-110,6.0,-76,-73,8,5,Home,Home,True,13,True,False,False
2025-03-31,74369,PHI,COL,-220,176,-1.0,-100,84,6.0,-71,-78,6,1,Home,Home,True,7,True,False,False
2025-03-31,74370,MIA,NYM,108,-130,0.7,-71,-78,6.0,-80,-69,4,10,Away,Away,True,14,True,False,False
2025-03-31,74371,CIN,TEX,68,-81,0.7,-105,88,6.0,68,-81,14,3,Home,Away,False,17,True,False,False
2025-03-31,74364,TB,PIT,-122,102,-1.0,77,-91,6.0,-80,-69,6,1,Home,Home,True,7,True,False,False
2025-03-31,74372,TOR,WSH,-118,98,-1.0,81,-96,6.0,-76,-73,5,2,Home,Home,True,7,True,False,False
