timestamp,team1,team2,team1_raw,team2_raw,ml_team1,ml_team2
2025-04-08 09:31:08,NYYANKEES,DETTIGERS,NY Yankees,DET Tigers,−105,−115
2025-04-08 09:31:08,MIAMARLINS,NYMETS,MIA Marlins,NY Mets,−112,−108
2025-04-08 09:31:08,CHIWHITESOX,CLEGUARDIANS,CHI White Sox,CLE Guardians,+100,−120
2025-04-08 09:31:08,STLCARDINALS,PITPIRATES,STL Cardinals,PIT Pirates,−118,−102
2025-04-08 09:31:08,LADODGERS,WASNATIONALS,LA Dodgers,WAS Nationals,−105,−115
2025-04-08 09:31:08,TORBLUEJAYS,BOSREDSOX,TOR Blue Jays,BOS Red Sox,−102,−118
2025-04-08 09:31:08,LAANGELS,TBRAYS,LA Angels,TB Rays,−108,−112
2025-04-08 09:31:08,PHIPHILLIES,ATLBRAVES,PHI Phillies,ATL Braves,−110,−110
2025-04-08 09:31:08,MINTWINS,KCROYALS,MIN Twins,KC Royals,−110,−110
2025-04-08 09:31:08,TEXRANGERS,CHICUBS,TEX Rangers,CHI Cubs,−118,−102
2025-04-08 09:31:08,MILBREWERS,COLROCKIES,MIL Brewers,COL Rockies,−108,−112
2025-04-08 09:31:08,BALORIOLES,ARIDIAMONDBACKS,BAL Orioles,ARI Diamondbacks,−115,−105
2025-04-08 09:31:08,HOUASTROS,SEAMARINERS,HOU Astros,SEA Mariners,−102,−118
2025-04-08 09:31:08,CINREDS,SFGIANTS,CIN Reds,SF Giants,+100,−120
2025-04-08 09:31:08,SDPADRES,ATHLETICS,SD Padres,Athletics,−118,−102
