GameDate,HomeTeam,AwayTeam,OpeningHomeMoneyLine,OpeningAwayMoneyLine
2025-03-27,,,-127,107
2025-03-27,,,-94,-94
2025-03-27,,,117,-139
2025-03-27,,,94,-112
2025-03-27,,,117,-139
2025-03-27,,,-105,88
2025-03-27,,,112,-133
2025-03-27,,,-99,-90
2025-03-27,,,-143,120
2025-03-27,,,86,-103
2025-03-27,,,-88,-101
2025-03-27,,,-146,122
2025-03-27,,,-105,88
2025-03-27,,,-155,129
2025-03-28,,,-285,235
2025-03-28,,,-170,144
2025-03-28,,,162,-193
2025-03-28,,,-137,-150
2025-03-28,,,-157,131
2025-03-28,,,-186,157
2025-03-28,,,-170,149
2025-03-28,,,-193,162
2025-03-28,,,-301,248
2025-03-29,,,-87,73
2025-03-29,,,71,-85
2025-03-29,,,-56,-59
2025-03-29,,,-65,55
2025-03-29,,,68,-81
2025-03-29,,,-104,86
2025-03-29,,,58,-68
2025-03-29,,,-63,52
2025-03-29,,,-63,52
2025-03-29,,,-60,-55
2025-03-29,,,-65,55
2025-03-29,,,68,-81
2025-03-29,,,-64,53
2025-03-29,,,-107,89
2025-03-29,,,-94,78
2025-03-30,,,-216,181
2025-03-30,,,175,-207
2025-03-30,,,-197,167
2025-03-30,,,-289,240
2025-03-30,,,-183,153
2025-03-30,,,-153,-168
2025-03-30,,,153,-183
2025-03-30,,,-168,-153
2025-03-30,,,-158,-164
2025-03-30,,,-237,199
2025-03-30,,,-178,149
2025-03-30,,,-270,225
2025-03-30,,,-190,161
2025-03-31,,,111,-134
2025-03-31,,,-81,68
2025-03-31,,,-96,81
2025-03-31,,,-220,176
2025-03-31,,,108,-130
2025-03-31,,,68,-81
2025-03-31,,,-122,102
2025-03-31,,,-118,98
2025-03-31,,,-112,95
2025-03-31,,,-91,77
2025-03-31,,,-91,77
2025-03-31,,,-83,69
2025-03-31,,,84,-100
2025-03-31,,,-152,125
2025-04-01,,,93,-111
2025-04-01,,,93,-111
2025-04-01,,,-119,100
2025-04-01,,,75,-89
2025-04-01,,,-116,97
2025-04-01,,,100,-119
2025-04-01,,,-89,75
2025-04-01,,,-102,86
2025-04-01,,,82,-97
2025-04-01,,,-129,107
2025-04-01,,,-125,104
2025-04-01,,,79,-93
2025-04-01,,,-93,79
2025-04-02,,,-202,171
2025-04-02,,,-157,-172
2025-04-02,,,-187,157
2025-04-02,,,-232,195
2025-04-02,,,246,-297
2025-04-02,,,-168,-162
2025-04-02,,,-177,-153
2025-04-02,,,-262,217
2025-04-02,,,-277,231
2025-04-02,,,157,-187
2025-04-02,,,270,-327
2025-04-02,,,165,-195
2025-04-02,,,-487,389
2025-04-02,,,-222,186
2025-04-02,,,-345,285
2025-04-03,,,-98,82
2025-04-03,,,-176,145
2025-04-03,,,-111,94
2025-04-03,,,-111,94
2025-04-03,,,-94,78
2025-04-04,,,-343,279
2025-04-04,,,-158,132
2025-04-04,,,-215,181
2025-04-04,,,-184,156
2025-04-04,,,-136,-149
2025-04-04,,,194,-233
2025-04-04,,,-192,161
2025-04-04,,,176,-210
2025-04-04,,,148,-175
2025-04-04,,,-318,259
2025-04-04,,,-145,-140
2025-04-04,,,-175,148
2025-04-04,,,-168,143
2025-04-04,,,-132,-153
2025-04-05,,,-145,119
2025-04-05,,,-75,64
2025-04-05,,,-68,-59
2025-04-05,,,66,-78
2025-04-05,,,-63,-65
2025-04-05,,,79,-94
2025-04-05,,,-75,64
2025-04-05,,,-67,-61
2025-04-05,,,-107,89
2025-04-05,,,-78,66
2025-04-05,,,-75,64
2025-04-05,,,-150,122
2025-04-05,,,-65,-63
2025-04-05,,,-71,59
2025-04-05,,,75,-90
2025-04-06,,,205,-246
2025-04-06,,,150,-177
2025-04-06,,,-232,194
2025-04-06,,,194,-232
2025-04-06,,,-170,143
2025-04-06,,,-252,210
2025-04-06,,,-211,177
2025-04-06,,,-157,-143
2025-04-06,,,-194,164
2025-04-06,,,-157,-143
2025-04-06,,,-202,169
2025-04-06,,,-153,-147
2025-04-06,,,-157,-143
2025-04-06,,,-161,-139
2025-04-06,,,-153,-147
2025-04-06,,,-177,150
2025-04-07,,,80,-96
2025-04-07,,,71,-84
2025-04-07,,,97,-116
2025-04-07,,,-84,71
2025-04-07,,,-180,146
2025-04-07,,,-78,65
2025-04-07,,,-84,71
2025-04-07,,,-81,68
2025-04-07,,,-107,91
2025-04-07,,,-100,84
2025-04-07,,,84,-100
2025-03-27,NYY,MIL,-127,107,-1.3,122,-146,5.9,-90,-99
2025-03-27,TOR,BAL,-94,-94,1.1,-165,137,6.3,-88,-101
2025-03-27,WSH,PHI,117,-139,1.1,-116,98,5.2,-105,88
2025-03-27,TEX,BOS,94,-112,1.1,-139,117,5.9,-94,-94
2025-03-27,CHW,LAA,117,-139,1.1,-107,90,5.5,-99,-90
2025-03-27,HOU,NYM,-105,88,1.1,-176,146,5.9,86,-103
2025-03-27,MIA,PIT,112,-133,1.1,-127,107,4.8,-96,-93
2025-03-27,CIN,SF,-99,-90,1.1,-159,132,5.5,-99,-90
2025-03-27,KC,CLE,-143,120,-1.3,107,-127,6.3,-96,-93
2025-03-27,SD,ATL,86,-103,1.1,-155,129,4.8,-107,90
2025-03-27,STL,MIN,-88,-101,1.1,-150,125,5.5,-88,-101
2025-03-27,LAD,DET,-146,122,-1.3,117,-139,4.8,-107,90
2025-03-27,ARI,CHC,-105,88,1.1,-170,141,6.3,-93,-96
2025-03-27,SEA,ATH,-155,129,-1.3,107,-127,5.2,-88,-101
2025-03-28,TB,COL,-285,235,-2.0,-137,-150,10.5,-137,-150
2025-03-28,TOR,BAL,-170,144,-2.0,209,-251,11.1,-157,131
2025-03-28,MIA,PIT,162,-193,2.6,-186,157,10.5,-150,-137
2025-03-28,TEX,BOS,-137,-150,2.6,-217,183,11.8,-137,-150
2025-03-28,HOU,NYM,-157,131,2.6,-268,222,10.5,-154,-133
2025-03-28,ARI,CHC,-186,157,-2.0,190,-229,11.8,-137,-141
2025-03-28,SD,ATL,-170,149,-2.0,201,-242,12.0,-157,131
2025-03-28,SEA,ATH,-193,162,-2.0,201,-242,12.0,-146,-141
2025-03-28,LAD,DET,-301,248,-2.0,-141,-146,12.8,133,-159
2025-03-29,NYY,MIL,-87,73,-0.8,65,-77,2.5,-59,-56
2025-03-29,CHW,LAA,71,-85,0.4,-63,52,2.2,-60,-55
2025-03-29,STL,MIN,-56,-59,0.4,-94,78,2.1,-58,-58
2025-03-29,TOR,BAL,-65,55,-0.8,84,-100,2.3,-59,-56
2025-03-29,WSH,PHI,68,-81,0.4,-68,58,2.5,-56,-59
2025-03-29,TB,COL,-104,86,-0.8,58,-68,2.3,52,-63
2025-03-29,MIA,PIT,58,-68,0.4,-85,71,2.3,-62,-53
2025-03-29,CIN,SF,-63,52,0.4,-104,86,2.3,-60,-55
2025-03-29,KC,CLE,-63,52,0.4,-100,84,2.5,52,-63
2025-03-29,TEX,BOS,-60,-55,0.4,-97,81,2.5,-55,-60
2025-03-29,HOU,NYM,-65,55,-0.8,89,-107,2.3,-63,52
2025-03-29,SD,ATL,68,-81,0.4,-68,58,2.2,-56,-59
2025-03-29,ARI,CHC,-64,53,0.4,-104,86,2.5,-55,-60
2025-03-29,LAD,DET,-107,89,-0.8,53,-64,2.1,-55,-60
2025-03-29,SEA,ATH,-94,78,-0.8,68,-81,1.9,-59,-56
2025-03-30,NYY,MIL,-216,181,-2.2,212,-256,12.4,-158,-164
2025-03-30,WSH,PHI,175,-207,3.2,-197,167,13.1,-153,-168
2025-03-30,TOR,BAL,-197,167,-2.2,219,-263,13.1,146,-175
2025-03-30,TB,COL,-289,240,-2.2,175,-207,11.0,-168,-153
2025-03-30,MIA,PIT,-183,153,-2.2,248,-300,11.0,-172,-149
2025-03-30,CIN,SF,-153,-168,3.2,-237,199,11.7,-168,-153
2025-03-30,CHW,LAA,153,-183,3.2,-226,190,12.4,-158,-164
2025-03-30,KC,CLE,-168,-153,3.2,-289,240,10.2,-168,-153
2025-03-30,STL,MIN,-158,-164,3.2,-263,219,12.4,-149,-172
2025-03-30,TEX,BOS,-237,199,-2.2,190,-226,11.0,-153,-168
2025-03-30,ARI,CHC,-178,149,3.2,-289,240,13.1,-153,-168
2025-03-30,SEA,ATH,-270,225,-2.2,181,-216,11.0,149,-178
2025-03-30,SD,ATL,-190,161,-2.2,234,-281,11.7,-164,-158
2025-03-31,CHW,MIN,111,-134,0.7,-71,-78,3.2,-83,69
2025-03-31,MIL,KC,-81,68,0.7,-130,108,3.9,-78,-71
2025-03-31,BAL,BOS,-96,81,-1.0,92,-110,4.4,-76,-73
2025-03-31,PHI,COL,-220,176,-1.0,-100,84,4.1,-71,-78
2025-03-31,MIA,NYM,108,-130,0.7,-71,-78,3.9,-80,-69
2025-03-31,CIN,TEX,68,-81,0.7,-105,88,4.1,68,-81
2025-03-31,TB,PIT,-122,102,-1.0,77,-91,3.7,-80,-69
