date,type,home_team,away_team,line,model_pick,confidence,edge,result,correct
2025-04-08,spread,MIL Brewers,COL Rockies,-1.5,COL Rockies +1.5 (vs -1.5),🔥🔥🔥🔥🔥,2.96,Pending,
2025-04-08,spread,BAL Orioles,ARI Diamondbacks,-1.5,ARI Diamondbacks +1.5 (vs -1.5),🔥🔥🔥🔥🔥,2.96,Pending,
2025-04-08,spread,LA Dodgers,WAS Nationals,-1.5,WAS Nationals +1.3 (vs -1.5),🔥🔥🔥🔥🔥,2.84,Pending,
2025-04-08,spread,LA Angels,TB Rays,-1.5,TB Rays +1.2 (vs -1.5),🔥🔥🔥🔥,2.72,Pending,
2025-04-08,spread,SD Padres,Athletics,-1.5,Athletics +1.2 (vs -1.5),🔥🔥🔥🔥,2.72,Pending,
2025-04-08,total,STL Cardinals,PIT Pirates,6.5,Over (vs 6.5),🔥🔥🔥🔥,,Pending,
2025-04-08,total,MIA Marlins,NY Mets,7.0,Over (vs 7.0),🔥🔥🔥,,Pending,
2025-04-08,total,PHI Phillies,ATL Braves,7.0,Over (vs 7.0),🔥🔥🔥,,Pending,
2025-04-08,total,MIL Brewers,COL Rockies,9.5,Under (vs 9.5),🔥🔥🔥,,Pending,
2025-04-08,total,BAL Orioles,ARI Diamondbacks,9.5,Under (vs 9.5),🔥🔥🔥,,Pending,
2025-04-09,spread,MIL Brewers,COL Rockies,-1.5,COL Rockies +1.5 (vs -1.5),🔥🔥🔥🔥🔥,2.96,Pending,
2025-04-09,spread,BAL Orioles,ARI Diamondbacks,-1.5,ARI Diamondbacks +1.5 (vs -1.5),🔥🔥🔥🔥🔥,2.96,Pending,
2025-04-09,spread,LA Dodgers,WAS Nationals,-1.5,WAS Nationals +1.3 (vs -1.5),🔥🔥🔥🔥🔥,2.84,Pending,
2025-04-09,spread,LA Angels,TB Rays,-1.5,TB Rays +1.2 (vs -1.5),🔥🔥🔥🔥,2.72,Pending,
2025-04-09,spread,SD Padres,Athletics,-1.5,Athletics +1.2 (vs -1.5),🔥🔥🔥🔥,2.72,Pending,
2025-04-09,total,STL Cardinals,PIT Pirates,6.5,Over (vs 6.5),🔥🔥🔥🔥,,Pending,
2025-04-09,total,MIA Marlins,NY Mets,7.0,Over (vs 7.0),🔥🔥🔥,,Pending,
2025-04-09,total,PHI Phillies,ATL Braves,7.0,Over (vs 7.0),🔥🔥🔥,,Pending,
2025-04-09,total,MIL Brewers,COL Rockies,9.5,Under (vs 9.5),🔥🔥🔥,,Pending,
2025-04-09,total,BAL Orioles,ARI Diamondbacks,9.5,Under (vs 9.5),🔥🔥🔥,,Pending,
2025-04-16,spread,MIL Brewers,COL Rockies,-1.5,COL Rockies +1.7 (vs -1.5),🔥🔥🔥🔥🔥,3.19,Pending,
2025-04-16,spread,SD Padres,Athletics,-1.5,Athletics +1.5 (vs -1.5),🔥🔥🔥🔥🔥,2.96,Pending,
2025-04-16,spread,BAL Orioles,ARI Diamondbacks,-1.5,ARI Diamondbacks +1.3 (vs -1.5),🔥🔥🔥🔥🔥,2.84,Pending,
2025-04-16,spread,LA Dodgers,WAS Nationals,-1.5,WAS Nationals +1.3 (vs -1.5),🔥🔥🔥🔥🔥,2.84,Pending,
2025-04-16,spread,PHI Phillies,ATL Braves,-1.5,ATL Braves +1.2 (vs -1.5),🔥🔥🔥🔥,2.72,Pending,
2025-04-16,total,MIL Brewers,COL Rockies,10.5,Under (vs 10.5),🔥🔥🔥🔥,,Pending,
2025-04-16,total,NY Yankees,DET Tigers,7.0,Over (vs 7.0),🔥🔥🔥,,Pending,
2025-04-16,total,MIA Marlins,NY Mets,7.0,Over (vs 7.0),🔥🔥🔥,,Pending,
2025-04-16,total,SD Padres,Athletics,9.5,Under (vs 9.5),🔥🔥🔥,,Pending,
2025-04-16,total,CHI White Sox,CLE Guardians,7.0,Over (vs 7.0),🔥🔥🔥,,Pending,
