Date,Away Team,Home Team,Away Score,Home Score,Total
2025-03-27,MIL,NYY,2,4,6
2025-03-27,BAL,TOR,12,2,14
2025-03-27,PHI,WSH,7,3,10
2025-03-27,BOS,TEX,5,2,7
2025-03-27,PIT,MIA,4,5,9
2025-03-27,SF,CIN,6,4,10
2025-03-27,LAA,CHW,1,8,9
2025-03-27,CLE,KC,7,4,11
2025-03-27,NYM,HOU,1,3,4
2025-03-27,ATL,SD,4,7,11
2025-03-27,MIN,STL,3,5,8
2025-03-27,DET,LAD,4,5,9
2025-03-27,CHC,ARI,10,6,16
2025-03-27,ATH,SEA,2,4,6
2025-03-28,COL,TB,2,3,5
2025-03-28,BAL,TOR,2,8,10
2025-03-28,PIT,MIA,4,3,7
2025-03-28,BOS,TEX,1,4,5
2025-03-28,NYM,HOU,3,1,4
2025-03-28,ATL,SD,3,4,7
2025-03-28,CHC,ARI,1,8,9
2025-03-28,ATH,SEA,7,0,7
2025-03-28,DET,LAD,5,8,13
2025-03-29,MIL,NYY,9,20,29
2025-03-29,LAA,CHW,1,0,1
2025-03-29,MIN,STL,1,5,6
2025-03-29,BAL,TOR,9,5,14
2025-03-29,PHI,WSH,11,6,17
2025-03-29,COL,TB,2,1,3
2025-03-29,PIT,MIA,4,5,9
2025-03-29,SF,CIN,2,3,5
2025-03-29,CLE,KC,3,4,7
2025-03-29,BOS,TEX,3,4,7
2025-03-29,NYM,HOU,1,2,3
2025-03-29,ATL,SD,0,1,1
2025-03-29,CHC,ARI,4,3,7
2025-03-29,DET,LAD,3,7,10
2025-03-29,ATH,SEA,4,2,6
2025-03-30,MIL,NYY,3,12,15
2025-03-30,PHI,WSH,1,5,6
2025-03-30,BAL,TOR,1,3,4
2025-03-30,COL,TB,4,6,10
2025-03-30,PIT,MIA,2,3,5
2025-03-30,SF,CIN,6,3,9
2025-03-30,LAA,CHW,3,2,5
2025-03-30,CLE,KC,6,2,8
2025-03-30,MIN,STL,2,9,11
2025-03-30,BOS,TEX,2,3,5
2025-03-30,CHC,ARI,6,10,16
2025-03-30,ATH,SEA,1,2,3
2025-03-30,ATL,SD,0,5,5
2025-03-31,KC,MIL,11,1,12
2025-03-31,MIN,CHW,0,9,9
2025-03-31,BOS,BAL,5,8,13
2025-03-31,COL,PHI,1,6,7
2025-03-31,NYM,MIA,10,4,14
2025-03-31,TEX,CIN,3,14,17
2025-03-31,PIT,TB,1,6,7
2025-03-31,WSH,TOR,2,5,7
2025-03-31,LAA,STL,5,4,9
2025-03-31,SF,HOU,7,2,9
2025-03-31,CLE,SD,2,7,9
2025-03-31,DET,SEA,9,6,15
2025-03-31,CHC,ATH,18,3,21
2025-03-31,ATL,LAD,1,6,7
2025-04-01,NYM,MIA,2,4,6
2025-04-01,TEX,CIN,1,0,1
