GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS
162,5526,760,1456,259,18,190,726,2321,458,1077,120,0.263,0.324,0.42,0.745
162,5522,886,1452,271,37,211,845,2430,569,1265,119,0.263,0.337,0.44,0.777
161,5530,740,1448,264,16,190,701,2314,448,1176,93,0.262,0.322,0.418,0.741
162,5522,842,1423,291,26,233,815,2465,602,1336,136,0.258,0.335,0.446,0.781
162,5534,784,1423,285,24,198,750,2350,515,1370,148,0.257,0.325,0.425,0.75
162,5577,751,1404,311,30,194,724,2357,493,1570,144,0.252,0.319,0.423,0.741
162,5567,786,1391,262,33,235,759,2424,489,1359,98,0.25,0.315,0.435,0.751
162,5472,777,1359,249,33,177,742,2205,597,1459,217,0.248,0.326,0.403,0.729
162,5450,815,1352,243,15,237,782,2336,672,1326,88,0.248,0.333,0.429,0.761
162,5421,735,1343,264,35,170,711,2187,429,1161,134,0.248,0.306,0.403,0.71
162,5507,672,1363,257,21,165,639,2157,478,1318,91,0.248,0.312,0.392,0.703
162,5510,768,1357,279,15,207,735,2287,514,1382,106,0.246,0.319,0.415,0.734
162,5490,742,1352,309,23,183,702,2256,473,1306,65,0.246,0.315,0.411,0.726
162,5522,637,1347,243,23,150,611,2086,403,1410,125,0.244,0.3,0.378,0.678
162,5481,704,1333,273,15,213,674,2275,485,1461,69,0.243,0.309,0.415,0.724
162,5374,660,1306,267,18,135,621,2014,456,1220,223,0.243,0.309,0.375,0.684
162,5441,736,1318,253,29,170,696,2139,546,1362,143,0.242,0.317,0.393,0.71
162,5454,682,1319,277,25,179,655,2183,453,1617,85,0.242,0.304,0.4,0.704
162,5410,671,1306,280,26,156,640,2106,510,1233,72,0.241,0.313,0.389,0.703
162,5460,693,1303,266,30,177,661,2160,492,1452,68,0.239,0.305,0.396,0.701
162,5472,683,1302,220,15,176,652,2080,490,1284,97,0.238,0.305,0.38,0.686
161,5310,708,1263,245,18,185,670,2099,466,1196,148,0.238,0.307,0.395,0.703
162,5477,665,1283,236,17,160,643,2033,485,1506,106,0.234,0.301,0.371,0.672
162,5442,682,1273,244,47,162,656,2097,476,1461,76,0.234,0.3,0.385,0.685
162,5432,643,1267,240,19,196,619,2133,493,1502,98,0.233,0.301,0.393,0.694
162,5325,699,1230,257,29,174,663,2067,496,1459,207,0.231,0.305,0.388,0.693
162,5389,604,1241,245,23,147,564,1973,493,1485,178,0.23,0.302,0.366,0.669
162,5357,635,1227,227,15,165,596,1979,482,1416,133,0.229,0.301,0.369,0.671
162,5330,676,1195,228,13,185,642,2004,571,1625,140,0.224,0.311,0.376,0.687
162,5383,507,1187,226,9,133,485,1830,395,1403,90,0.221,0.278,0.34,0.618
