TEAM,Team
1,St. Louis Cardinals
2,San Diego Padres
3,New York Yankees
4,Boston Red Sox
5,Philadelphia Phillies
6,Toronto Blue Jays
7,Detroit Tigers
8,Baltimore Orioles
9,Tampa Bay Rays
10,Arizona Diamondbacks
11,Chicago Cubs
12,Athletics
13,Kansas City Royals
14,Colorado Rockies
15,Miami Marlins
16,Los Angeles Angels
17,Washington Nationals
18,Los Angeles Dodgers
19,Milwaukee Brewers
20,San Francisco Giants
21,Cleveland Guardians
22,Chicago White Sox
23,Seattle Mariners
24,Cincinnati Reds
25,Pittsburgh Pirates
26,New York Mets
27,Houston Astros
28,Minnesota Twins
29,Atlanta Braves
30,Texas Rangers
