TEAM,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS
ST. LOUIS CARDINALS,10,367,66,109,18,0,16,63,175,42,84,6,0.297,0.374,0.477,0.851
SAN DIEGO PADRES,11,358,51,101,20,0,10,47,151,37,68,18,0.282,0.351,0.422,0.773
NEW YORK YANKEES,10,356,78,99,20,2,25,74,198,38,97,11,0.278,0.357,0.556,0.913
BOSTON RED SOX,11,387,65,105,26,1,11,62,166,49,100,15,0.271,0.352,0.429,0.781
PHILADELPHIA PHILLIES,9,295,45,79,15,1,10,40,126,43,68,7,0.268,0.365,0.427,0.792
TORONTO BLUE JAYS,11,360,41,96,21,1,5,38,134,39,82,5,0.267,0.345,0.372,0.718
DETROIT TIGERS,10,340,51,89,16,4,12,50,149,46,96,4,0.262,0.352,0.438,0.790
BALTIMORE ORIOLES,11,367,52,95,15,3,12,49,152,33,94,6,0.259,0.324,0.414,0.738
TAMPA BAY RAYS,9,293,34,75,15,1,5,31,107,26,63,12,0.256,0.315,0.365,0.680
ARIZONA DIAMONDBACKS,11,364,59,92,25,2,12,59,157,45,72,8,0.253,0.337,0.431,0.768
CHICAGO CUBS,13,454,84,114,24,2,17,81,193,69,107,21,0.251,0.354,0.425,0.779
ATHLETICS,11,380,45,92,12,0,18,43,158,35,82,2,0.242,0.308,0.416,0.723
KANSAS CITY ROYALS,10,339,40,82,21,2,6,40,125,27,76,10,0.242,0.309,0.369,0.678
COLORADO ROCKIES,9,308,30,74,16,2,6,29,112,23,98,4,0.240,0.303,0.364,0.667
MIAMI MARLINS,10,337,33,80,15,1,7,30,118,32,94,8,0.237,0.307,0.350,0.658
LOS ANGELES ANGELS,9,304,46,71,11,2,13,46,125,26,78,6,0.234,0.303,0.411,0.714
WASHINGTON NATIONALS,10,320,40,74,18,1,13,38,133,26,97,11,0.231,0.296,0.416,0.712
LOS ANGELES DODGERS,12,385,61,89,17,1,24,59,180,42,100,7,0.231,0.313,0.468,0.780
MILWAUKEE BREWERS,10,334,42,77,13,1,9,37,119,33,94,9,0.231,0.303,0.356,0.659
SAN FRANCISCO GIANTS,10,342,49,78,20,1,12,49,136,32,97,13,0.228,0.296,0.398,0.694
CLEVELAND GUARDIANS,9,290,34,64,11,1,13,34,116,32,77,3,0.221,0.300,0.400,0.700
CHICAGO WHITE SOX,9,285,32,60,11,0,9,31,98,25,66,3,0.211,0.273,0.344,0.617
SEATTLE MARINERS,11,346,36,72,7,1,13,32,120,47,91,15,0.208,0.312,0.347,0.659
CINCINNATI REDS,11,353,41,73,11,0,12,41,120,25,94,4,0.207,0.269,0.340,0.609
PITTSBURGH PIRATES,11,368,40,76,13,3,7,39,116,43,106,21,0.207,0.294,0.315,0.609
NEW YORK METS,10,315,35,65,19,2,8,34,112,35,72,6,0.206,0.292,0.356,0.648
HOUSTON ASTROS,10,321,30,65,9,0,7,25,95,31,98,6,0.202,0.283,0.296,0.579
MINNESOTA TWINS,10,331,37,66,18,1,6,35,104,26,81,5,0.199,0.267,0.314,0.581
ATLANTA BRAVES,9,290,24,56,10,1,6,22,86,34,88,3,0.193,0.280,0.297,0.577
TEXAS RANGERS,11,331,33,61,10,0,12,33,107,28,79,14,0.184,0.257,0.323,0.580
