timestamp,team1,team2,favorite_team,spread_line,total_line,total_side,moneyline_fav
2025-04-09 04:22:11,STL Cardinals,PIT Pirates,STL Cardinals,-1.5,7.5,O,
2025-04-09 04:22:11,NY Yankees,DET Tigers,NY Yankees,-1.5,7.0,O,
2025-04-09 04:22:11,MIA Marlins,NY Mets,NY Mets,-1.5,7.0,O,
2025-04-09 04:22:11,TEX Rangers,CHI Cubs,CHI Cubs,-1.5,8.5,O,
2025-04-09 04:22:11,SD Padres,Athletics,SD Padres,-1.5,9.5,O,
2025-04-09 04:22:11,BAL Orioles,ARI Diamondbacks,ARI Diamondbacks,-1.5,9.0,O,
2025-04-09 04:22:11,CIN Reds,SF Giants,SF Giants,-1.5,7.5,O,
2025-04-09 04:22:11,LA Dodgers,WAS Nationals,LA Dodgers,-1.5,9.0,O,
2025-04-09 04:22:11,HOU Astros,SEA Mariners,HOU Astros,-1.5,7.5,O,
2025-04-09 04:22:11,CHI White Sox,CLE Guardians,CLE Guardians,-1.5,7.0,O,
2025-04-09 04:22:11,TOR Blue Jays,BOS Red Sox,BOS Red Sox,-1.5,8.0,O,
2025-04-09 04:22:11,LA Angels,TB Rays,TB Rays,-1.5,8.0,O,
2025-04-09 04:22:11,PHI Phillies,ATL Braves,ATL Braves,-1.5,8.5,O,
2025-04-09 04:22:11,MIN Twins,KC Royals,MIN Twins,-1.5,7.5,O,
2025-04-09 04:22:11,MIL Brewers,COL Rockies,MIL Brewers,-1.5,10.5,O,
