GameDate,GameId,HomeTeam,AwayTeam,OpeningHomeMoneyLine,OpeningAwayMoneyLine,OpeningPointSpread,OpeningHomeSpreadOdds,OpeningAwaySpreadOdds,OpeningOverUnder,OpeningOverOdds,OpeningUnderOdds
2025-03-27,74315,NYY,MIL,-127,107,-1.3,122,-146,5.9,-90,-99
2025-03-27,74316,TOR,BAL,-94,-94,1.1,-165,137,6.3,-88,-101
2025-03-27,74317,WSH,PHI,117,-139,1.1,-116,98,5.2,-105,88
2025-03-27,74318,TEX,BOS,94,-112,1.1,-139,117,5.9,-94,-94
2025-03-27,74312,CHW,LAA,117,-139,1.1,-107,90,5.5,-99,-90
2025-03-27,74313,HOU,NYM,-105,88,1.1,-176,146,5.9,86,-103
2025-03-27,74319,MIA,PIT,112,-133,1.1,-127,107,4.8,-96,-93
2025-03-27,74320,CIN,SF,-99,-90,1.1,-159,132,5.5,-99,-90
2025-03-27,74321,KC,CLE,-143,120,-1.3,107,-127,6.3,-96,-93
2025-03-27,74322,SD,ATL,86,-103,1.1,-155,129,4.8,-107,90
2025-03-27,74323,STL,MIN,-88,-101,1.1,-150,125,5.5,-88,-101
2025-03-27,74324,LAD,DET,-146,122,-1.3,117,-139,4.8,-107,90
2025-03-27,74314,ARI,CHC,-105,88,1.1,-170,141,6.3,-93,-96
2025-03-27,74325,SEA,ATH,-155,129,-1.3,107,-127,5.2,-88,-101
2025-03-28,74327,TB,COL,-285,235,-2.0,-137,-150,10.5,-137,-150
2025-03-28,74328,TOR,BAL,-170,144,-2.0,209,-251,11.1,-157,131
2025-03-28,74329,MIA,PIT,162,-193,2.6,-186,157,10.5,-150,-137
2025-03-28,74330,TEX,BOS,-137,-150,2.6,-217,183,11.8,-137,-150
2025-03-28,74334,HOU,NYM,-157,131,2.6,-268,222,10.5,-154,-133
2025-03-28,74326,ARI,CHC,-186,157,-2.0,190,-229,11.8,-137,-141
2025-03-28,74331,SD,ATL,-170,149,-2.0,201,-242,12.0,-157,131
2025-03-28,74332,SEA,ATH,-193,162,-2.0,201,-242,12.0,-146,-141
2025-03-28,74333,LAD,DET,-301,248,-2.0,-141,-146,12.8,133,-159
2025-03-29,74336,NYY,MIL,-87,73,-0.8,65,-77,2.5,-59,-56
2025-03-29,74337,CHW,LAA,71,-85,0.4,-63,52,2.2,-60,-55
2025-03-29,74340,STL,MIN,-56,-59,0.4,-94,78,2.1,-58,-58
2025-03-29,74341,TOR,BAL,-65,55,-0.8,84,-100,2.3,-59,-56
2025-03-29,74342,WSH,PHI,68,-81,0.4,-68,58,2.5,-56,-59
2025-03-29,74335,TB,COL,-104,86,-0.8,58,-68,2.3,52,-63
2025-03-29,74343,MIA,PIT,58,-68,0.4,-85,71,2.3,-62,-53
2025-03-29,74344,CIN,SF,-63,52,0.4,-104,86,2.3,-60,-55
2025-03-29,74345,KC,CLE,-63,52,0.4,-100,84,2.5,52,-63
2025-03-29,74346,TEX,BOS,-60,-55,0.4,-97,81,2.5,-55,-60
2025-03-29,74338,HOU,NYM,-65,55,-0.8,89,-107,2.3,-63,52
2025-03-29,74347,SD,ATL,68,-81,0.4,-68,58,2.2,-56,-59
2025-03-29,74339,ARI,CHC,-64,53,0.4,-104,86,2.5,-55,-60
2025-03-29,74348,LAD,DET,-107,89,-0.8,53,-64,2.1,-55,-60
2025-03-29,74349,SEA,ATH,-94,78,-0.8,68,-81,1.9,-59,-56
2025-03-30,74351,NYY,MIL,-216,181,-2.2,212,-256,12.4,-158,-164
2025-03-30,74355,WSH,PHI,175,-207,3.2,-197,167,13.1,-153,-168
2025-03-30,74356,TOR,BAL,-197,167,-2.2,219,-263,13.1,146,-175
2025-03-30,74350,TB,COL,-289,240,-2.2,175,-207,11.0,-168,-153
2025-03-30,74357,MIA,PIT,-183,153,-2.2,248,-300,11.0,-172,-149
2025-03-30,74358,CIN,SF,-153,-168,3.2,-237,199,11.7,-168,-153
2025-03-30,74352,CHW,LAA,153,-183,3.2,-226,190,12.4,-158,-164
2025-03-30,74359,KC,CLE,-168,-153,3.2,-289,240,10.2,-168,-153
2025-03-30,74360,STL,MIN,-158,-164,3.2,-263,219,12.4,-149,-172
2025-03-30,74361,TEX,BOS,-237,199,-2.2,190,-226,11.0,-153,-168
2025-03-30,74354,ARI,CHC,-178,149,3.2,-289,240,13.1,-153,-168
2025-03-30,74363,SEA,ATH,-270,225,-2.2,181,-216,11.0,149,-178
2025-03-30,74362,SD,ATL,-190,161,-2.2,234,-281,11.7,-164,-158
2025-03-31,74365,CHW,MIN,111,-134,0.7,-71,-78,3.2,-83,69
2025-03-31,74367,MIL,KC,-81,68,0.7,-130,108,3.9,-78,-71
2025-03-31,74368,BAL,BOS,-96,81,-1.0,92,-110,4.4,-76,-73
2025-03-31,74369,PHI,COL,-220,176,-1.0,-100,84,4.1,-71,-78
2025-03-31,74370,MIA,NYM,108,-130,0.7,-71,-78,3.9,-80,-69
2025-03-31,74371,CIN,TEX,68,-81,0.7,-105,88,4.1,68,-81
